Vehicle_ID,Station_ID,Vehicle_Type,Battery_Capacity_kWh,Manufacturer,Model_Name,Registration_Year,Owner_Type
50038,14554,Pickup,37.7,BMW,iX,2020,Government
50039,17568,Electric Bike,72.1,Jeep,Avenger EV,2019,Taxi Operator
50040,24921,Hatchback,40,Skoda,Enyaq iV,2020,Municipal Utility
50041,20198,Minivan,61.9,BMW,i4,2021,Fleet
50042,26626,Coupe,47.5,Mahindra,XUV400,2022,Educational Institution
50043,17660,Electric Scooter,66,Mercedes-Benz,EQE,2025,Rental Agency
50044,12041,Coupe,57.6,Skoda,Enyaq iV,2023,Educational Institution
50045,27523,Electric Scooter,63.3,Citroën,ë-C3,2021,Taxi Operator
50046,19637,Coupe,97.8,Maruti Suzuki,Futuro-e,2020,Ride-Sharing Partner
50047,15064,Van,40.8,Mercedes-Benz,EQS,2019,Educational Institution
50048,20951,Van,66.2,MG,ZS EV,2021,Educational Institution
50049,21157,Electric Scooter,37.9,BMW,i7,2023,Delivery Service
50050,16141,Compact SUV,62.3,Audi,Q8 e-tron,2024,Rental Agency
50051,28858,Pickup,54.8,Volkswagen,ID.3,2021,Municipal Utility
50052,28742,Crossover,30.1,Mahindra,eVerito,2022,Ride-Sharing Partner
50053,12794,Hatchback,67,Mahindra,BE.05,2020,Government
50054,14633,Pickup,96.8,Tata,Punch EV,2020,Government
50055,26838,Convertible,97,Hyundai,Ioniq 5,2019,Ride-Sharing Partner
50056,21527,Coupe,57,Tesla,Model 3,2023,Taxi Operator
50057,16951,Minivan,37.1,Citroën,ë-C3,2021,Government
50058,18180,Minivan,86.9,MG,Comet EV,2022,Corporate
50059,22365,Convertible,98.3,Citroën,ë-C3,2021,Delivery Service
50060,19847,Electric Bike,66.2,Honda,Prologue,2024,Corporate
50061,20991,Coupe,73.1,Kia,EV6,2024,Individual
50062,24998,Truck,53.8,Kia,EV6,2023,Municipal Utility
50063,14052,Hatchback,59.9,Maruti Suzuki,Futuro-e,2023,Municipal Utility
50064,20554,Hatchback,80.3,BMW,i4,2021,Rental Agency
50065,20453,Three-Wheeler,50.2,Renault,K-ZE,2025,Educational Institution
50066,26315,Electric Bike,49.9,Skoda,Enyaq iV,2019,Corporate
50067,25662,SUV,79.6,Citroën,ë-C3,2020,Individual
50068,17511,Pickup,34.7,MG,ZS EV,2023,Municipal Utility
50069,29378,Truck,66,Volkswagen,ID.4,2018,Ride-Sharing Partner
50070,26231,SUV,56.6,Jeep,Avenger EV,2018,Municipal Utility
50071,22610,Van,79.9,Tata,Punch EV,2025,Rental Agency
50072,20891,Electric Scooter,85.2,Tata,Punch EV,2021,Educational Institution
50073,13730,Coupe,40.7,Hyundai,Kona Electric,2024,Municipal Utility
50074,24436,Three-Wheeler,56.7,Mercedes-Benz,EQB,2018,Educational Institution
50075,26261,SUV,92.1,Maruti Suzuki,Futuro-e,2018,Delivery Service
50076,22285,Electric Bike,48.2,Nissan,Leaf,2020,Rental Agency
50077,22936,Convertible,87.5,Honda,e,2021,Fleet
50078,22535,Compact SUV,53.4,Maruti Suzuki,eVX,2020,Municipal Utility
50079,12567,Truck,35.9,Skoda,Enyaq iV,2019,Government
50080,12127,Van,70.1,Tesla,Model Y,2019,Municipal Utility
50081,18565,Crossover,93.5,MG,ZS EV,2023,Fleet
50082,14993,Three-Wheeler,47,Mahindra,BE.05,2020,Taxi Operator
50083,14825,Luxury Sedan,61.6,Jeep,Avenger EV,2020,Individual
50084,25054,Pickup,41.8,Kia,EV6,2018,Municipal Utility
50085,22005,Crossover,49.3,BMW,i4,2024,Individual
50086,28799,Crossover,79.1,Renault,ZOE,2025,Corporate
50087,21464,Minivan,34.4,Jeep,Avenger EV,2020,Individual
50088,22603,Pickup,86,Ford,F-150 Lightning,2023,Fleet
50089,25330,Luxury Sedan,36.3,Nissan,Leaf,2025,Taxi Operator
50090,15908,Hatchback,33.4,Tesla,Model S,2024,Educational Institution
50091,27032,Crossover,31.9,Mercedes-Benz,EQB,2024,Government
50092,26963,Convertible,55.4,Citroën,ë-C3,2025,Ride-Sharing Partner
50093,25086,Van,88.2,Audi,Q4 e-tron,2023,Municipal Utility
50094,29244,Electric Bike,82.3,Nissan,Ariya,2025,Municipal Utility
50095,20385,Convertible,44.6,Maruti Suzuki,Futuro-e,2020,Ride-Sharing Partner
50096,13349,Coupe,40.8,Volkswagen,ID.3,2018,Educational Institution
50097,15902,Compact SUV,63,Citroën,ë-C3,2025,Delivery Service
50098,29227,Minivan,99.2,Renault,K-ZE,2018,Individual
50099,25743,Truck,92.9,Hyundai,Kona Electric,2023,Rental Agency
50100,11300,Compact SUV,59.8,Tata,Punch EV,2024,Municipal Utility
50101,15693,Van,66.5,BMW,i7,2024,Educational Institution
50102,20186,Crossover,34.5,Honda,Prologue,2024,Rental Agency
50103,14077,Compact SUV,70.7,Maruti Suzuki,eVX,2019,Municipal Utility
50104,12053,Crossover,73.2,Tesla,Model Y,2022,Taxi Operator
50105,23385,Truck,87.8,Kia,Soul EV,2020,Educational Institution
50106,10633,Pickup,54.5,Tata,Punch EV,2022,Delivery Service
50107,10534,Hatchback,63.6,MG,Comet EV,2019,Rental Agency
50108,26733,Truck,50.4,Tata,Punch EV,2018,Fleet
50109,12825,SUV,40.4,Honda,e,2024,Taxi Operator
50110,17770,Hatchback,50.7,Audi,e-tron,2021,Corporate
50111,24391,Minivan,47.7,Citroën,ë-C3,2024,Educational Institution
50112,15781,Electric Bike,70.9,Jeep,Avenger EV,2022,Taxi Operator
50113,24151,Three-Wheeler,81.8,Jeep,Avenger EV,2024,Ride-Sharing Partner
50114,19787,Van,97.1,Honda,Prologue,2020,Rental Agency
50115,25636,Convertible,90.7,Skoda,Enyaq iV,2025,Fleet
50116,13760,Truck,46.6,Tesla,Model S,2024,Municipal Utility
50117,14068,Coupe,70.6,Hyundai,Kona Electric,2022,Municipal Utility
50118,21048,Hatchback,76.1,Hyundai,Ioniq 5,2020,Ride-Sharing Partner
50119,22454,Coupe,58.8,Mercedes-Benz,EQE,2025,Delivery Service
50120,24719,SUV,34.1,Audi,e-tron,2021,Taxi Operator
50121,15433,Electric Scooter,79.3,Renault,K-ZE,2020,Delivery Service
50122,11348,SUV,44,Maruti Suzuki,eVX,2018,Delivery Service
50123,23858,Luxury Sedan,94.6,Jeep,Avenger EV,2022,Corporate
50124,13987,Van,80.9,Mercedes-Benz,EQS,2021,Municipal Utility
50125,21729,Hatchback,89.7,Nissan,Ariya,2018,Educational Institution
50126,18680,Hatchback,40.5,Jeep,Avenger EV,2022,Fleet
50127,10325,Coupe,75.8,Citroën,ë-C3,2019,Delivery Service
50128,11107,Truck,57.4,Tesla,Model Y,2018,Corporate
50129,16247,Crossover,40,Volkswagen,ID.3,2024,Municipal Utility
50130,25274,Pickup,90.3,Hyundai,Kona Electric,2021,Individual
50131,18639,Sedan,79,Honda,e,2018,Corporate
50132,12615,Three-Wheeler,94.2,Ford,F-150 Lightning,2024,Corporate
50133,26556,Minivan,40.7,Skoda,Enyaq iV,2025,Individual
50134,29474,Compact SUV,30.2,Audi,Q8 e-tron,2018,Fleet
50135,23140,Pickup,47.3,Hyundai,Ioniq 5,2021,Fleet
50136,26073,Minivan,42.6,Maruti Suzuki,eVX,2024,Educational Institution
50137,11179,Truck,76.1,Tesla,Model S,2020,Rental Agency
50138,27410,Crossover,64.2,Renault,ZOE,2022,Fleet
50139,23049,Van,52,Volkswagen,ID.4,2020,Government
50140,17227,Sedan,68.7,Citroën,ë-C3,2025,Municipal Utility
50141,24334,Three-Wheeler,76.9,MG,Comet EV,2018,Corporate
50142,23487,Coupe,85.4,Skoda,Enyaq iV,2023,Delivery Service
50143,12224,Luxury Sedan,42.5,Audi,e-tron,2024,Municipal Utility
50144,18724,Crossover,92.4,MG,ZS EV,2022,Government
50145,17767,Crossover,49.6,Honda,e,2020,Individual
50146,11110,Crossover,39.9,Volkswagen,ID.4,2018,Taxi Operator
50147,10254,Pickup,30.6,BYD,e6,2019,Ride-Sharing Partner
50148,16699,SUV,85,Jeep,Avenger EV,2025,Individual
50149,17478,Three-Wheeler,34.7,Tata,Nexon EV,2018,Taxi Operator
50150,22885,Electric Scooter,40.7,Tesla,Model Y,2024,Taxi Operator
50151,27125,Minivan,52.4,Hyundai,Kona Electric,2024,Taxi Operator
50152,10614,Sedan,52.6,Volvo,C40 Recharge,2024,Corporate
50153,29068,Three-Wheeler,71.6,Nissan,Ariya,2020,Educational Institution
50154,27265,Minivan,39.2,Volkswagen,ID.4,2021,Individual
50155,12745,Pickup,57.3,Audi,Q4 e-tron,2021,Individual
50156,11891,Pickup,40.3,MG,ZS EV,2019,Delivery Service
50157,28446,Sedan,73.6,Nissan,Leaf,2019,Ride-Sharing Partner
50158,18666,Van,96.8,BMW,iX,2018,Ride-Sharing Partner
50159,29028,SUV,39,Volkswagen,ID.3,2023,Delivery Service
50160,18907,Van,30.7,Ford,F-150 Lightning,2024,Municipal Utility
50161,12454,Pickup,34.7,Honda,e,2022,Fleet
50162,15408,Truck,36.3,Tesla,Model 3,2021,Delivery Service
50163,15929,Minivan,54.7,Audi,Q4 e-tron,2021,Municipal Utility
50164,12307,Three-Wheeler,66.3,Kia,Soul EV,2024,Individual
50165,15822,Electric Scooter,31.2,Skoda,Enyaq iV,2021,Government
50166,15956,Minivan,83.9,Maruti Suzuki,Futuro-e,2024,Corporate
50167,12343,Sedan,82.4,Hyundai,Kona Electric,2019,Fleet
50168,26256,Sedan,41.3,Maruti Suzuki,eVX,2024,Municipal Utility
50169,19744,Pickup,89.4,Volvo,C40 Recharge,2022,Taxi Operator
50170,21971,Pickup,48.7,Mercedes-Benz,EQB,2024,Rental Agency
50171,14551,Minivan,81.7,Honda,Prologue,2021,Fleet
50172,14407,Sedan,52.7,BMW,i7,2019,Rental Agency
50173,19513,Sedan,61.5,Skoda,Enyaq iV,2025,Individual
50174,13044,Electric Scooter,97.7,Hyundai,Kona Electric,2025,Rental Agency
50175,26057,Truck,56.8,Tata,Tigor EV,2019,Municipal Utility
50176,14474,Pickup,31,Citroën,ë-C3,2019,Fleet
50177,25036,Hatchback,52.5,Ford,Mustang Mach-E,2021,Delivery Service
50178,10695,Van,68.7,Tata,Nexon EV,2019,Corporate
50179,21391,SUV,97,Kia,Soul EV,2020,Rental Agency
50180,13953,Convertible,66.2,Audi,Q4 e-tron,2020,Taxi Operator
50181,25660,Luxury Sedan,68.2,MG,Comet EV,2021,Municipal Utility
50182,28017,Coupe,61.1,MG,ZS EV,2025,Fleet
50183,21183,Minivan,74.8,Hyundai,Kona Electric,2020,Educational Institution
50184,17645,Truck,77.9,Mahindra,eVerito,2023,Corporate
50185,21474,Convertible,90.9,Ford,Mustang Mach-E,2023,Individual
50186,29506,Compact SUV,86.1,Tesla,Model 3,2020,Rental Agency
50187,29649,Crossover,87.2,Maruti Suzuki,eVX,2022,Government
50188,11412,Electric Scooter,95,Audi,Q8 e-tron,2023,Corporate
50189,11598,Sedan,31,Citroën,ë-C3,2024,Corporate
50190,28457,Electric Scooter,84.3,Tata,Tigor EV,2022,Delivery Service
50191,18168,Hatchback,37,Renault,ZOE,2024,Government
50192,28619,Coupe,71.8,Nissan,Ariya,2025,Individual
50193,24893,Compact SUV,91.8,Renault,ZOE,2019,Rental Agency
50194,19976,Sedan,97.5,Renault,ZOE,2021,Municipal Utility
50195,12881,Luxury Sedan,82.3,Kia,Soul EV,2022,Government
50196,16837,Electric Scooter,96.2,MG,Comet EV,2020,Municipal Utility
50197,29630,Electric Bike,64.9,BYD,Seal,2024,Taxi Operator
50198,23394,Electric Scooter,54,Nissan,Leaf,2020,Individual
50199,20952,Hatchback,52.5,Tata,Punch EV,2021,Corporate
50200,10236,Coupe,75.5,Citroën,ë-C3,2022,Rental Agency
50201,28064,Compact SUV,70,Maruti Suzuki,Futuro-e,2023,Taxi Operator
50202,18521,Luxury Sedan,64.4,Mercedes-Benz,EQS,2023,Ride-Sharing Partner
50203,24981,Sedan,85.5,Audi,Q4 e-tron,2022,Individual
50204,23762,Coupe,62.2,Renault,K-ZE,2022,Educational Institution
50205,27075,Minivan,59.5,MG,Comet EV,2020,Individual
50206,23124,Minivan,36.1,Jeep,Avenger EV,2018,Individual
50207,16695,Minivan,96.1,Nissan,Leaf,2019,Government
50208,29834,Pickup,92.6,Hyundai,Kona Electric,2024,Taxi Operator
50209,27380,Luxury Sedan,46.6,Mercedes-Benz,EQS,2023,Fleet
50210,15504,Truck,48.8,Mahindra,XUV400,2023,Government
50211,21503,Pickup,77.6,BMW,i4,2020,Government
50212,28768,Electric Scooter,37.3,Jeep,Avenger EV,2018,Individual
50213,14232,Pickup,55,Citroën,ë-C3,2023,Ride-Sharing Partner
50214,14999,Electric Bike,89.1,Skoda,Enyaq iV,2019,Taxi Operator
50215,18872,Sedan,47.6,Mercedes-Benz,EQE,2025,Individual
50216,24723,Electric Bike,79.9,Jeep,Avenger EV,2023,Delivery Service
50217,15250,Luxury Sedan,60,Skoda,Enyaq iV,2022,Individual
50218,19938,Electric Bike,55.8,BYD,e6,2019,Corporate
50219,22844,Electric Bike,44.6,Tata,Tigor EV,2022,Educational Institution
50220,27562,Electric Scooter,73.3,Tesla,Model S,2021,Rental Agency
50221,11908,Crossover,78.9,BMW,i7,2020,Ride-Sharing Partner
50222,27134,Sedan,41.2,Jeep,Avenger EV,2025,Corporate
50223,13868,Pickup,98,BMW,i7,2022,Taxi Operator
50224,20917,Compact SUV,32.5,Renault,ZOE,2022,Delivery Service
50225,21080,Compact SUV,64,BYD,e6,2023,Ride-Sharing Partner
50226,20278,Convertible,96.5,Volvo,C40 Recharge,2022,Corporate
50227,25601,Truck,93.9,Jeep,Avenger EV,2019,Municipal Utility
50228,20400,SUV,47.3,Jeep,Avenger EV,2018,Ride-Sharing Partner
50229,24768,Pickup,42.8,MG,ZS EV,2023,Municipal Utility
50230,10092,Compact SUV,90.8,Mahindra,eVerito,2019,Individual
50231,27156,Hatchback,85.7,BYD,Seal,2022,Municipal Utility
50232,28442,Electric Scooter,75.1,Citroën,ë-C3,2025,Educational Institution
50233,16628,Convertible,91,Ford,F-150 Lightning,2020,Corporate
50234,21779,Van,92.1,Maruti Suzuki,eVX,2020,Municipal Utility
50235,10605,Luxury Sedan,71.4,Mercedes-Benz,EQE,2024,Delivery Service
50236,12759,Sedan,68.6,Kia,EV6,2020,Ride-Sharing Partner
50237,29700,Convertible,54.2,Volkswagen,ID.4,2025,Individual
50238,20364,Sedan,90.5,Tesla,Model 3,2021,Rental Agency
50239,17504,Crossover,52,Citroën,ë-C3,2023,Rental Agency
50240,22444,Coupe,93.8,Tesla,Model S,2024,Delivery Service
50241,14260,Crossover,55,BYD,Atto 3,2018,Corporate
50242,18593,Coupe,85.5,Maruti Suzuki,eVX,2022,Delivery Service
50243,28444,Electric Scooter,81.1,BYD,e6,2022,Individual
50244,29329,Luxury Sedan,47.9,Citroën,ë-C3,2022,Educational Institution
50245,22668,Truck,79.1,Renault,K-ZE,2023,Government
50246,26866,Truck,71.1,Mahindra,XUV400,2025,Fleet
50247,16870,Compact SUV,39.3,BMW,i4,2019,Municipal Utility
50248,28747,Convertible,30.9,Ford,F-150 Lightning,2023,Corporate
50249,11970,Electric Scooter,88.6,Skoda,Enyaq iV,2018,Rental Agency
50250,22131,SUV,44.5,MG,Comet EV,2022,Individual
50251,18997,Minivan,39.9,MG,Comet EV,2019,Municipal Utility
50252,12293,Compact SUV,71,Tesla,Model S,2019,Educational Institution
50253,17849,Truck,63.9,Tesla,Model Y,2020,Fleet
50254,25749,Pickup,34.1,Volkswagen,ID.4,2020,Rental Agency
50255,16315,SUV,48.7,Skoda,Enyaq iV,2024,Taxi Operator
50256,17607,Luxury Sedan,77.4,Hyundai,Kona Electric,2018,Taxi Operator
50257,21480,Pickup,93.1,Honda,e,2021,Ride-Sharing Partner
50258,25077,Compact SUV,38.5,Renault,ZOE,2023,Educational Institution
50259,21819,Coupe,61,Nissan,Leaf,2024,Government
50260,20709,SUV,54.1,Volkswagen,ID.3,2024,Government
50261,25678,Convertible,81.3,MG,Comet EV,2023,Taxi Operator
50262,19616,Minivan,79.2,Ford,F-150 Lightning,2018,Fleet
50263,19595,Coupe,87.8,Mahindra,eVerito,2021,Educational Institution
50264,25966,Coupe,31.8,MG,ZS EV,2025,Government
50265,29400,Three-Wheeler,56.5,Renault,K-ZE,2019,Individual
50266,16256,Electric Scooter,91.3,Mercedes-Benz,EQS,2019,Individual
50267,10395,Sedan,67.9,Hyundai,Kona Electric,2018,Rental Agency
50268,17472,Three-Wheeler,40.2,Audi,e-tron,2024,Individual
50269,19403,Crossover,56.7,Mercedes-Benz,EQE,2018,Municipal Utility
50270,25806,Pickup,76.4,Nissan,Ariya,2018,Taxi Operator
50271,24085,Pickup,42,Ford,Mustang Mach-E,2025,Rental Agency
50272,22831,Sedan,88.5,MG,ZS EV,2024,Individual
50273,29580,Hatchback,86.3,Hyundai,Kona Electric,2025,Delivery Service
50274,20094,Three-Wheeler,85.5,Honda,Prologue,2023,Ride-Sharing Partner
50275,23446,Pickup,51.5,Volkswagen,ID.4,2023,Corporate
50276,12542,Convertible,93,Citroën,ë-C3,2021,Corporate
50277,20708,Compact SUV,31.7,MG,ZS EV,2025,Educational Institution
50278,14185,SUV,76.1,Kia,EV6,2020,Government
50279,21355,Electric Scooter,49.1,Renault,ZOE,2020,Municipal Utility
50280,26264,Minivan,43.4,MG,ZS EV,2018,Ride-Sharing Partner
50281,12381,Electric Scooter,50.9,Renault,ZOE,2021,Government
50282,19812,Convertible,59,Tesla,Model 3,2025,Taxi Operator
50283,15211,Van,53.2,Nissan,Ariya,2023,Fleet
50284,14279,Crossover,83.7,Honda,e,2018,Rental Agency
50285,11507,Convertible,93.2,MG,Comet EV,2020,Government
50286,12691,Sedan,36.3,Mercedes-Benz,EQE,2022,Ride-Sharing Partner
50287,27476,Convertible,37.4,Mahindra,eVerito,2021,Government
50288,10183,Truck,69.7,Skoda,Enyaq iV,2018,Corporate
50289,27253,Convertible,95.5,Mahindra,BE.05,2024,Corporate
50290,28539,Minivan,42.6,Renault,ZOE,2019,Municipal Utility
50291,16928,Compact SUV,48.3,Kia,Soul EV,2024,Educational Institution
50292,27135,Truck,53,Volkswagen,ID.4,2020,Fleet
50293,14630,SUV,51.6,Honda,e,2019,Corporate
50294,27366,Convertible,61.2,Tesla,Model 3,2021,Municipal Utility
50295,18235,SUV,39.9,Mercedes-Benz,EQB,2025,Rental Agency
50296,19679,Three-Wheeler,85.2,Volvo,XC40 Recharge,2024,Delivery Service
50297,22183,Three-Wheeler,36.9,Nissan,Ariya,2022,Corporate
50298,29822,Pickup,69.1,Tata,Nexon EV,2020,Delivery Service
50299,16163,Hatchback,82.3,Renault,ZOE,2025,Individual
50300,29960,Luxury Sedan,62.1,Skoda,Enyaq iV,2019,Educational Institution
50301,21797,Pickup,85.8,Kia,Soul EV,2020,Taxi Operator
50302,10966,Compact SUV,85.7,Mahindra,BE.05,2020,Municipal Utility
50303,20051,Truck,98.9,Kia,Soul EV,2018,Rental Agency
50304,20891,Coupe,34.1,Kia,EV6,2019,Rental Agency
50305,24925,Crossover,59.2,Mercedes-Benz,EQE,2019,Fleet
50306,28165,Electric Bike,81.6,BMW,i7,2025,Corporate
50307,19022,SUV,77.3,BMW,i4,2022,Corporate
50308,18569,Compact SUV,49.1,Hyundai,Kona Electric,2021,Individual
50309,29642,Luxury Sedan,63,Nissan,Leaf,2019,Delivery Service
50310,14559,Electric Bike,41.4,Jeep,Avenger EV,2019,Individual
50311,28350,Compact SUV,71.2,Volvo,XC40 Recharge,2020,Individual
50312,25528,Truck,67.2,Volvo,C40 Recharge,2018,Government
50313,14703,Three-Wheeler,92,Kia,EV6,2021,Delivery Service
50314,17284,Compact SUV,39.5,Volvo,C40 Recharge,2022,Taxi Operator
50315,21459,Convertible,59.4,Audi,Q8 e-tron,2020,Fleet
50316,26421,Compact SUV,50.8,Renault,ZOE,2019,Ride-Sharing Partner
50317,17970,Minivan,39.8,Honda,e,2021,Corporate
50318,15951,Electric Bike,86,Mahindra,eVerito,2020,Municipal Utility
50319,10237,Minivan,51.8,Hyundai,Ioniq 5,2020,Individual
50320,25792,Electric Bike,59.7,Mercedes-Benz,EQS,2021,Educational Institution
50321,28866,Three-Wheeler,33.2,MG,Comet EV,2018,Individual
50322,11878,SUV,50.5,Honda,Prologue,2025,Government
50323,14777,Minivan,58.4,Renault,K-ZE,2024,Rental Agency
50324,28996,Three-Wheeler,36,Nissan,Ariya,2019,Individual
50325,17697,Three-Wheeler,53.3,Volkswagen,ID.3,2023,Individual
50326,19214,Electric Scooter,44.1,Skoda,Enyaq iV,2023,Educational Institution
50327,24381,Minivan,80.6,Audi,Q8 e-tron,2021,Rental Agency
50328,28964,Minivan,66.8,Ford,F-150 Lightning,2025,Fleet
50329,19452,Sedan,31,Renault,ZOE,2018,Fleet
50330,25617,Pickup,94.1,Hyundai,Ioniq 5,2020,Fleet
50331,25411,Convertible,62.1,Audi,Q4 e-tron,2024,Government
50332,24674,Crossover,32.3,Audi,e-tron,2020,Fleet
50333,27625,Electric Scooter,90.3,MG,Comet EV,2018,Rental Agency
50334,25780,Pickup,40.1,Renault,ZOE,2019,Taxi Operator
50335,16155,Hatchback,82.9,Nissan,Ariya,2020,Municipal Utility
50336,11301,Minivan,31.8,Mercedes-Benz,EQB,2023,Taxi Operator
50337,23095,Crossover,59.2,BYD,Seal,2025,Municipal Utility
50338,25711,Crossover,89.9,Renault,K-ZE,2020,Ride-Sharing Partner
50339,18878,Compact SUV,32.2,Kia,Soul EV,2025,Individual
50340,23215,Convertible,68.6,Mercedes-Benz,EQS,2018,Individual
50341,18379,Van,94.5,Hyundai,Ioniq 5,2021,Individual
50342,29695,SUV,78.2,Tesla,Model 3,2022,Fleet
50343,23422,Electric Bike,37.8,Ford,Mustang Mach-E,2021,Fleet
50344,19409,Truck,48.4,Ford,F-150 Lightning,2019,Rental Agency
50345,11992,Crossover,39.9,Renault,K-ZE,2020,Individual
50346,19148,Coupe,48.1,Renault,K-ZE,2021,Taxi Operator
50347,21103,Coupe,61.3,Mahindra,eVerito,2019,Individual
50348,12636,Hatchback,39.6,BYD,Atto 3,2025,Taxi Operator
50349,19039,Truck,61,Tesla,Model S,2018,Government
50350,23135,Sedan,64.7,Jeep,Avenger EV,2018,Taxi Operator
50351,15654,Truck,46.9,BMW,iX,2018,Taxi Operator
50352,10768,Electric Bike,72.2,MG,ZS EV,2023,Educational Institution
50353,18289,Electric Scooter,40,Ford,Mustang Mach-E,2020,Ride-Sharing Partner
50354,26404,Sedan,61.4,Jeep,Avenger EV,2025,Fleet
50355,10963,Three-Wheeler,59.2,BMW,i4,2025,Rental Agency
50356,12643,Crossover,91.2,Tesla,Model S,2019,Fleet
50357,19606,Van,34,Mercedes-Benz,EQE,2018,Individual
50358,21409,SUV,89.6,Tesla,Model Y,2019,Rental Agency
50359,20573,Three-Wheeler,31.1,Volkswagen,ID.3,2021,Ride-Sharing Partner
50360,28208,Truck,45.4,Renault,K-ZE,2023,Corporate
50361,23847,Van,50.7,Tesla,Model 3,2018,Municipal Utility
50362,22101,Coupe,80.3,Nissan,Leaf,2020,Rental Agency
50363,12171,Minivan,47.8,Ford,Mustang Mach-E,2022,Municipal Utility
50364,21832,Electric Scooter,34.2,Hyundai,Ioniq 5,2024,Rental Agency
50365,11386,SUV,60.3,Ford,F-150 Lightning,2024,Government
50366,29227,Minivan,72.1,Hyundai,Kona Electric,2018,Taxi Operator
50367,14768,Coupe,98.2,BYD,Atto 3,2023,Municipal Utility
50368,17934,Convertible,41.6,Tesla,Model S,2022,Corporate
50369,15664,Electric Scooter,78.6,Hyundai,Ioniq 5,2022,Fleet
50370,29069,Hatchback,33,Honda,e,2023,Delivery Service
50371,23308,SUV,53.9,Honda,e,2022,Educational Institution
50372,21529,Convertible,56,BYD,Atto 3,2018,Corporate
50373,14095,Three-Wheeler,35.2,Skoda,Enyaq iV,2025,Rental Agency
50374,25404,Three-Wheeler,87.9,Tesla,Model 3,2018,Fleet
50375,24372,Luxury Sedan,61.4,Mahindra,XUV400,2019,Municipal Utility
50376,22194,Compact SUV,47.9,Nissan,Leaf,2025,Rental Agency
50377,28916,Hatchback,82.2,Tesla,Model 3,2024,Individual
50378,21152,Minivan,65.7,Nissan,Ariya,2023,Delivery Service
50379,25379,Hatchback,91.6,Tesla,Model 3,2020,Government
50380,17320,Truck,99.7,Renault,ZOE,2019,Fleet
50381,15666,Electric Scooter,88.8,Audi,Q8 e-tron,2022,Individual
50382,24918,Luxury Sedan,87.4,Citroën,ë-C3,2022,Government
50383,13578,Crossover,40.9,Kia,Soul EV,2018,Educational Institution
50384,25011,Electric Bike,48.7,Volvo,C40 Recharge,2018,Fleet
50385,20691,Hatchback,97.1,Tata,Tigor EV,2023,Delivery Service
